ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	214	0	0	0.000000	7.392523	7.392523	0.000000	0.000000	0	29	0
2	39	0	0	0.000000	11.179487	5.846154	0.000000	0.000000	0	12	0
3	60	0	0	0.000000	4.000000	4.000000	0.000000	0.000000	0	4	0
4	74	0	0	0.000000	4.000000	4.000000	0.000000	0.000000	0	4	0
5	49	0	0	0.000000	4.000000	4.000000	0.000000	0.000000	0	4	0
6	49	0	0	0.000000	4.000000	4.000000	0.000000	0.000000	0	4	0
7	59	0	0	0.000000	4.000000	4.000000	0.000000	0.000000	0	4	0
8	58	0	0	0.000000	4.000000	4.000000	0.000000	0.000000	0	4	0
